CourseId,ProfName,Quarter,CRN
ATM 223,Ian Faloona,202403,57306
ATM 260,Cort Anastasio,202403,57307
AVS 100,Huaijun Zhou,202403,32495
AHI 190J,Heghnar Watenpaugh,202410,20680
AHI 200A,Michael Yonan,202410,20722
ART 101C,Shiva Ahmadi,202410,22471
ART 103BN,Michael Ryan,202410,22473
ART 113,The Staff,202410,22477
ART 125B,Graham Mcdougal,202410,22478
ART 221A,Shiva Ahmadi,202410,22529
ART 221B,Shiva Ahmadi,202410,22530
ART 290A,Annabeth Rosen,202410,22531
ASA 189B,Susette Min,202410,49642
ASA 194,Richard Kim,202410,49644
ATM 005,Adele Igel,202410,22628
ATM 060,Shu-Hua Chen,202410,22629
ATM 116,Cort Anastasio,202410,22666
ATM 120,Ian Faloona,202410,22667
ATM 245,Monier/Lubell,202410,22698
AVS 013,Annie King,202410,22886
BCB 212,Maria Mudryj,202401,14728
BCB 213,Draper/Lott,202401,14729
BCB 220L,Baldwin/Juliano,202401,14730
BCB 220L,Juliano/Baldwin,202410,23013
BCB 256,Ghosh/Mudryj,202401,14731
BIM 088V,Angelique Louie,202401,15168
BIM 088V,Angelique Louie,202403,32890
BIM 106,Cheemeng Tan,202401,15172
BIM 107,Xianglong Wang,202401,15176
BIM 110B,Jennifer Choi,202401,15182
BIM 141,Sanjeevi Sivasankar,202401,15183
BIM 151,Leonor Saiz,202401,45104
BIM 152,Leonor Saiz,202401,15184
BIM 177,Anthony Passerini,202401,44419
BIM 243,Sun Il Kwon,202401,45114
BIM 248,Audrey Fan,202401,44423
BIM 252,Jinyi Qi,202401,15235
BIM 258,Robert Zawadzki,202401,15236
BIS 002A,Marc Facciotti,202401,15370
BIS 002A,Namekawa/Igo,202403,33078
BIS 002B,Keen/Furrow,202401,15411
BIS 002B,Schreiber/Laskowski,202403,33120
BIS 002B,Gerhart/Bay,202410,23734
BIS 002C,Ledford/Mazza Rodrigues/Ward,202401,15474
BIS 002C,Eisen/Keen,202403,33168
BIS 002C,Ledford/Keen,202410,23792
BIS 002D,Elva Diaz,202401,15518
BIS 002D,Silvia Carrasco Garcia,202403,33208
BIS 002D,Elva Diaz,202410,23832
BIS 006,Leslie Peek,202401,15524
BIS 006,Leslie Peek,202403,33211
BIS 101,Dan Kliebenstein,202410,23875
BIS 101D,Marina Ellefson,202401,15560
BIS 101D,Susan Lott,202403,33258
BIS 101D,Dan Kliebenstein,202410,23877
BIS 102,Mona Monfared,202401,15579
BIS 102,R Holland Cheng,202403,33274
BIS 102,Kenneth Hilt,202410,23888
BIS 103,Oliver Fiehn,202401,15582
BIS 103,Mona Monfared,202403,33276
BIS 103,Mona Monfared,202410,23890
BIS 104,Daniel Starr,202401,15584
BIS 104,Silvia Carrasco Garcia,202403,33279
BIS 104,Bo Liu,202410,23892
BIS 105,Kenneth Hilt,202401,15586
BIS 105,Kenneth Hilt,202403,33281
BIS 105,Steven Theg,202410,23893
BIS 106,Leslie Peek,202401,44530
BIS 106,Leslie Peek,202403,33282
BIS 106,Leslie Peek,202410,23894
EBS 075,Tina Jeoh,202401,19712
EBS 130,Zhiliang Fan,202401,19830
EBS 161,Yi Wang,202401,19831
EBS 170B,Ruihong Zhang,202401,19832
EBS 290,Nitin Nitin,202401,20005
EBS 290,Zhongli Pan,202403,37129
EBS 290,Zhiliang Fan,202410,27981
BCB 215,Kenneth Kaplan,202403,32562
BIM 020,Soichiro Yamada,202403,32883
BIM 020L,Anthony Passerini,202403,32886
BIM 108,Jinyi Qi,202403,32897
BIM 109,Aidan Gilchrist,202403,32898
BIM 110C,Jennifer Choi,202403,32899
BIM 140,Yong Duan,202403,32900
BIM 142,Yi Xue,202403,32901
BIM 143,Marc Facciotti,202403,32902
BIM 154,Sharon Aviran,202403,56909
BIM 155,Xianglong Wang,202403,57409
BIM 178,Jennifer Choi,202403,57407
BIM 209,Stavisky/Simon,202403,32946
BIM 216,Scott Simon,202403,56911
BIM 232,Blaine Christiansen,202403,56913
BIM 246,Felipe Godinez,202403,56914
BIM 257,Marcu/Zawadzki,202403,32948
BIM 263,Volkmar Heinrich,202403,56910
BIS 020Q,Sean Collins,202403,56739
BIS 027B,Andrew Alameda,202403,33224
BIS 107,Sharon Aviran,202403,33283
BIS 180L,Julin Maloof,202403,33284
BIS 183,Siobhan Brady,202403,33285
BIS 185L,Yann-Ru Lou,202403,56849
EBS 125,Nitin Nitin,202403,36962
EBS 128,Fadi Fathallah,202403,36964
EBS 148,Isaya Kisekka,202403,36966
EBS 170C,Ruihong Zhang,202403,36967
EBS 243,Samuel Sandoval Solis,202403,37117
EBS 265,Mason Earles,202403,37118
EBS 270,Md Shamim Ahamed,202403,57187
AVS 290,The Staff,202410,22916
BCB 210,Li-En Jao,202410,23011
BCB 211,David Wilson,202410,23012
BCB 257,Kermit Carraway,202410,23015
BCB 290,Priya Shah,202410,23016
BCM 250,Dr Luis Carvajal-Carmona,202410,23416
BIM 001,Angelique Louie,202410,23458
BIM 105,Sharon Aviran,202410,23466
BIM 110A,Jennifer Choi,202410,23469
BIM 111,Xianglong Wang,202410,23470
BIM 116,Steven George,202410,23475
BIM 162,Volkmar Heinrich,202410,23478
BIM 170,Donald Chigazola,202410,23479
BIM 171,Tran/Grimsrud,202410,23481
BIM 174,Jennifer Choi,202410,23482
BIM 201,Carney/Ripplinger,202410,23527
BIM 202,Soichiro Yamada,202410,23528
BIM 204,Lin Tian,202410,23529
BIM 242,Guobao Wang,202410,23531
BIM 254,Sharon Aviran,202410,49653
BIM 260,Sanjeevi Sivasankar,202410,23532
BIS 005,Jonathan Bragg,202410,23833
BIS 023A,Titus Brown,202410,23842
BIS 160,Leslie Peek,202410,23895
BIS 181,Venkatesan Sundaresan,202410,23896
EBS 001,Bornhorst/Carciofi,202410,27734
EBS 127,Yi Wang,202410,27836
EBS 144,Thomas Harter,202410,27838
EBS 165,Stavros Vougioukas,202410,27844
EBS 170A,Ruihong Zhang,202410,27846
EBS 200,Isaya Kisekka,202410,27977
EBS 241,Andre Daccache,202410,27978
EBS 268,Tina Jeoh,202410,50018
BAX 402,Gina Dokko,202401,14716
BAX 422,Jörn Boehnke,202401,14718
BAX 442,Prasad Naik,202401,14720
BAX 452,Jörn Boehnke,202401,14722
BAX 462,Josue Martinez,202401,14724
BAX 493A,Prasad Naik,202401,14726
BIM 280,Karen Moxon,202401,15237
BIM 283,David Rocke,202401,15238
BIM 284,Yong Duan,202401,15239
BIM 290,Yi Xue,202401,15243
BIM 290,Yi Xue,202403,32954
BIM 290,Yi Xue,202410,23535
BIT 091,Diane Beckles,202401,15626
BIT 160,Abhaya Dandekar,202401,15684
BIT 160,Georgia Drakakaki,202410,50184
BIT 171,Alan Bennett,202401,45039
BIT 171,Christine Diepenbrock,202410,24011
BPH 200A,Alla Fomina,202401,15801
BPH 200LA,Voss/Vorobyov,202401,15802
BPH 200LA,Igor Vorobyov,202410,24115
BPH 200LB,Vorobyov/Voss,202401,15803
BPH 200LB,Igor Vorobyov,202403,33502
BPH 200LB,Igor Vorobyov,202410,24116
BPH 290,R Holland Cheng,202401,15805
BPH 290,R Holland Cheng,202403,33505
BPH 290,R Holland Cheng,202410,24117
BPT 201,Laura Marcu,202401,15910
BPT 201,Laura Marcu,202403,33603
BST 223,Hans-Georg Mueller,202401,15912
BST 290,Danielle Harvey,202401,15913
BST 290,Daniel Tancredi,202403,33606
CHA 101,Douglas Gross,202401,16214
CHA 101,Richard Tucker,202403,33819
CHA 101L,Douglas Gross,202401,16215
CHA 101L,Jennifer Weil,202403,33820
CHE 002A,Abdelbasset Farahat,202401,16355
CHE 002A,Bryan Enderle,202410,24708
CHE 002B,Louis Longaker,202401,16423
CHE 002B,Whitney Duim,202403,33945
CHE 004A,Bill McCurdy,202401,16515
CHE 004A,Bill McCurdy,202410,24857
CHE 004B,Delmar Larsen,202401,16517
CHE 004B,Delmar Larsen,202403,34082
CHE 008B,Melekeh Nasiri,202401,16522
CHE 008B,Max Helix,202410,24864
CHE 100,Davide Donadio,202401,16661
CHE 107A,Dylan Murray,202401,16662
CHE 107A,Andrew Fisher,202410,24956
CHE 107B,Whitney Duim,202401,16663
CHE 107B,Tomoyuki Hayashi,202403,34190
