,Name,Quality Rating,Total Ratings,Department,University,Would Take Again,Level of Difficulty,Link
167,Ross Bauer,2.8,15,Music,University of California Davis,N/A,3.1,https://www.ratemyprofessors.com/professor/202027
168,Chris Reynolds,3.8,27,Music,University of California Davis,100%,2.3,https://www.ratemyprofessors.com/professor/202033
169,Kathi Conger,4.2,19,Human Development,University of California Davis,N/A,2.2,https://www.ratemyprofessors.com/professor/202429
170,Fred Wood,4.9,7,Chemistry,University of California Davis,N/A,2.1,https://www.ratemyprofessors.com/professor/209920
171,Debra Long,3.6,71,Psychology,University of California Davis,37%,3.9,https://www.ratemyprofessors.com/professor/211883
172,Jim McClain,3.8,11,Science,University of California Davis,N/A,2.8,https://www.ratemyprofessors.com/professor/213733
173,Antonella Bassi,3.8,37,Languages,University of California Davis,N/A,3.3,https://www.ratemyprofessors.com/professor/214119
174,Te Williams,0.0,0,Agriculture,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/214672
175,Te Goliber,3.6,6,Biology,University of California Davis,N/A,3.2,https://www.ratemyprofessors.com/professor/214675
176,Charles Gasser,4.3,58,Science,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/214815
177,John Meeks,2.6,14,Biology,University of California Davis,N/A,4.1,https://www.ratemyprofessors.com/professor/215179
178,Charles Berger,3.1,37,Communication,University of California Davis,N/A,3.2,https://www.ratemyprofessors.com/professor/215304
179,David Van Leer,3.9,34,English,University of California Davis,N/A,2.7,https://www.ratemyprofessors.com/professor/216686
180,Rosemarie Kraft,2.9,46,Human Development,University of California Davis,N/A,2.8,https://www.ratemyprofessors.com/professor/216850
181,Larry Harper,2.6,71,Human Development,University of California Davis,N/A,4.1,https://www.ratemyprofessors.com/professor/216852
182,Kathy Cunningham,3.8,15,English,University of California Davis,N/A,3.7,https://www.ratemyprofessors.com/professor/217378
183,Joann Cannon,4.5,6,Languages,University of California Davis,N/A,1.7,https://www.ratemyprofessors.com/professor/217386
184,Abdolrahman Azari,3.3,4,Statistics,University of California Davis,N/A,3.5,https://www.ratemyprofessors.com/professor/220688
185,Roger Boulton,4.5,7,Engineering,University of California Davis,N/A,2.7,https://www.ratemyprofessors.com/professor/220712
186,Chris Knittel,4.7,36,Economics,University of California Davis,N/A,3.2,https://www.ratemyprofessors.com/professor/220978
187,Brynne Gray,4.2,14,English,University of California Davis,N/A,2.1,https://www.ratemyprofessors.com/professor/222499
188,Andrew Ishida,3.7,52,Science,University of California Davis,32%,3.9,https://www.ratemyprofessors.com/professor/222926
189,Jerrold Tannenbaum,4.6,4,Veterinary Sciences,University of California Davis,N/A,2.3,https://www.ratemyprofessors.com/professor/222932
190,Robert Chester,4.6,9,History,University of California Davis,N/A,2.3,https://www.ratemyprofessors.com/professor/223065
191,Kamila Larripa,3.7,31,Mathematics,University of California Davis,N/A,3.3,https://www.ratemyprofessors.com/professor/224169
192,Scott Schonfeldt-Aultman,0.0,0,Ethnic Studies,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/228844
193,Clifford Bernd,3.6,9,Humanities,University of California Davis,N/A,2.7,https://www.ratemyprofessors.com/professor/231127
194,Ben Edwards,3.2,57,Biology,University of California Davis,N/A,3.2,https://www.ratemyprofessors.com/professor/231691
195,Lawrence Chase,4.1,21,Communication,University of California Davis,N/A,2.4,https://www.ratemyprofessors.com/professor/231906
196,Kathi Silva,3.1,6,Design,University of California Davis,N/A,1.2,https://www.ratemyprofessors.com/professor/236699
197,Diane Ullman,4.2,25,Entomology,University of California Davis,75%,2.3,https://www.ratemyprofessors.com/professor/237338
198,Matthew Traxler,3.1,79,Psychology,University of California Davis,89%,3.3,https://www.ratemyprofessors.com/professor/237547
199,Juliana Schiesari,3.8,19,Humanities,University of California Davis,50%,1.9,https://www.ratemyprofessors.com/professor/238487
200,Michael Motley,3.1,31,Communication,University of California Davis,N/A,3.2,https://www.ratemyprofessors.com/professor/242488
201,Sheldon Lu,2.5,37,Literature,University of California Davis,72%,2.7,https://www.ratemyprofessors.com/professor/245779
202,Joanna Groza,3.6,16,Engineering,University of California Davis,N/A,2.8,https://www.ratemyprofessors.com/professor/248376
203,Roger McDonald,4.6,20,Science,University of California Davis,N/A,1.9,https://www.ratemyprofessors.com/professor/249456
204,Craig Tracy,2.6,68,Mathematics,University of California Davis,39%,4.6,https://www.ratemyprofessors.com/professor/249605
